33987,2011-10-11,Japan,Tajikistan,8,0,FIFA World Cup qualification
33988,2011-10-11,Kazakhstan,Austria,0,0,UEFA Euro qualification
33989,2011-10-11,North Korea,Uzbekistan,0,1,FIFA World Cup qualification
33990,2011-10-11,South Korea,United Arab Emirates,2,1,FIFA World Cup qualification
33991,2011-10-11,Lebanon,Kuwait,2,2,FIFA World Cup qualification
33992,2011-10-11,Lithuania,Czech Republic,1,4,UEFA Euro qualification
33993,2011-10-11,North Macedonia,Slovakia,1,1,UEFA Euro qualification
33994,2011-10-11,Malta,Israel,0,2,UEFA Euro qualification
33995,2011-10-11,Mexico,Brazil,1,2,Friendly
33996,2011-10-11,Moldova,San Marino,4,0,UEFA Euro qualification
33997,2011-10-11,Norway,Cyprus,3,1,UEFA Euro qualification
33998,2011-10-11,Panama,Nicaragua,5,1,FIFA World Cup qualification
33999,2011-10-11,Paraguay,Uruguay,1,1,FIFA World Cup qualification
34000,2011-10-11,Philippines,Nepal,4,0,Friendly
34001,2011-10-11,Russia,Andorra,6,0,UEFA Euro qualification
34002,2011-10-11,Singapore,Jordan,0,3,FIFA World Cup qualification
34003,2011-10-11,Slovenia,Serbia,1,0,UEFA Euro qualification
34004,2011-10-11,Spain,Scotland,3,1,UEFA Euro qualification
34005,2011-10-11,Saint Kitts and Nevis,Saint Lucia,1,1,FIFA World Cup qualification
34006,2011-10-11,Suriname,Dominican Republic,1,3,FIFA World Cup qualification
34007,2011-10-11,Sweden,Netherlands,3,2,UEFA Euro qualification
34008,2011-10-11,Switzerland,Montenegro,2,0,UEFA Euro qualification
34009,2011-10-11,Thailand,Saudi Arabia,0,0,FIFA World Cup qualification
34010,2011-10-11,Trinidad and Tobago,Barbados,4,0,FIFA World Cup qualification
34011,2011-10-11,Turkey,Azerbaijan,1,0,UEFA Euro qualification
34012,2011-10-11,United States,Ecuador,0,1,Friendly
34013,2011-10-11,Venezuela,Argentina,1,0,FIFA World Cup qualification
34014,2011-10-15,Grenada,Saint Vincent and the Grenadines,1,1,FIFA World Cup qualification
34015,2011-10-31,Namibia,Lesotho,0,0,Friendly
34016,2011-11-04,Kuwait,Bahrain,0,1,Friendly
34017,2011-11-04,Qatar,Oman,0,0,Friendly
34018,2011-11-05,Antigua and Barbuda,Guadeloupe,0,0,Friendly
34019,2011-11-06,Iraq,Lebanon,1,0,Friendly
34020,2011-11-06,Lesotho,DR Congo,0,3,Friendly
34021,2011-11-10,Gabon,Brazil,0,2,Friendly
34022,2011-11-11,Albania,Azerbaijan,0,1,Friendly
34023,2011-11-11,Antigua and Barbuda,Haiti,1,0,FIFA World Cup qualification
34024,2011-11-11,Argentina,Bolivia,1,1,FIFA World Cup qualification
34025,2011-11-11,Bahrain,Iran,1,1,FIFA World Cup qualification
34026,2011-11-11,Belgium,Romania,2,1,Friendly
34027,2011-11-11,Bermuda,Barbados,2,1,FIFA World Cup qualification
34028,2011-11-11,Bosnia and Herzegovina,Portugal,0,0,UEFA Euro qualification
34029,2011-11-11,Burkina Faso,Mali,1,1,Friendly
34030,2011-11-11,Cameroon,Sudan,3,1,Friendly
34031,2011-11-11,Chad,Tanzania,1,2,FIFA World Cup qualification
34032,2011-11-11,Colombia,Venezuela,1,1,FIFA World Cup qualification
34033,2011-11-11,Comoros,Mozambique,0,1,FIFA World Cup qualification
34034,2011-11-11,Cyprus,Scotland,1,2,Friendly
34035,2011-11-11,Czech Republic,Montenegro,2,0,UEFA Euro qualification
34036,2011-11-11,Denmark,Sweden,2,0,Friendly
34037,2011-11-11,Djibouti,Namibia,0,4,FIFA World Cup qualification
34038,2011-11-11,Dominican Republic,Cayman Islands,4,0,FIFA World Cup qualification
34039,2011-11-11,Equatorial Guinea,Madagascar,2,0,FIFA World Cup qualification
34040,2011-11-11,Eritrea,Rwanda,1,1,FIFA World Cup qualification
34041,2011-11-11,Estonia,Republic of Ireland,0,4,UEFA Euro qualification
34042,2011-11-11,France,United States,1,0,Friendly
34043,2011-11-11,Georgia,Moldova,2,0,Friendly
34044,2011-11-11,Greece,Russia,1,1,Friendly
34045,2011-11-11,Guatemala,Grenada,3,0,FIFA World Cup qualification
34046,2011-11-11,Guinea-Bissau,Togo,1,1,FIFA World Cup qualification
34047,2011-11-11,Guyana,Trinidad and Tobago,2,1,FIFA World Cup qualification
34048,2011-11-11,Hungary,Liechtenstein,5,0,Friendly
34049,2011-11-11,Iraq,China PR,1,0,FIFA World Cup qualification
34050,2011-11-11,Jordan,Singapore,2,0,FIFA World Cup qualification
34051,2011-11-11,Kuwait,Lebanon,0,1,FIFA World Cup qualification
34052,2011-11-11,Lesotho,Burundi,1,0,FIFA World Cup qualification
34053,2011-11-11,Mexico,Serbia,2,0,Friendly
34054,2011-11-11,Morocco,Uganda,0,1,Friendly
34055,2011-11-11,Netherlands,Switzerland,0,0,Friendly
34056,2011-11-11,Nicaragua,Dominica,1,0,FIFA World Cup qualification
34057,2011-11-11,Oman,Australia,1,0,FIFA World Cup qualification
34058,2011-11-11,Panama,Costa Rica,2,0,Friendly
34059,2011-11-11,Paraguay,Ecuador,2,1,FIFA World Cup qualification
34060,2011-11-11,Poland,Italy,0,2,Friendly
34061,2011-11-11,Puerto Rico,Saint Lucia,4,0,FIFA World Cup qualification
34062,2011-11-11,Qatar,Indonesia,4,0,FIFA World Cup qualification
34063,2011-11-11,São Tomé and Príncipe,Congo,0,5,FIFA World Cup qualification
34064,2011-11-11,Saudi Arabia,Thailand,3,0,FIFA World Cup qualification
34065,2011-11-11,Seychelles,Kenya,0,3,FIFA World Cup qualification
34066,2011-11-11,Saint Kitts and Nevis,Canada,0,0,FIFA World Cup qualification
34067,2011-11-11,Suriname,El Salvador,1,3,FIFA World Cup qualification
34068,2011-11-11,Eswatini,DR Congo,1,3,FIFA World Cup qualification
34069,2011-11-11,Tajikistan,Japan,0,4,FIFA World Cup qualification
34070,2011-11-11,Turkey,Croatia,0,3,UEFA Euro qualification
34071,2011-11-11,Ukraine,Germany,3,3,Friendly
34072,2011-11-11,United Arab Emirates,South Korea,0,2,FIFA World Cup qualification
34073,2011-11-11,Uruguay,Chile,4,0,FIFA World Cup qualification
34074,2011-11-11,Uzbekistan,North Korea,1,0,FIFA World Cup qualification
34075,2011-11-11,United States Virgin Islands,Curaçao,0,3,FIFA World Cup qualification
34076,2011-11-11,Belize,Saint Vincent and the Grenadines,1,1,FIFA World Cup qualification
34077,2011-11-12,Algeria,Tunisia,1,0,Friendly
34078,2011-11-12,England,Spain,1,0,Friendly
34079,2011-11-12,Nigeria,Botswana,0,0,Friendly
34080,2011-11-12,Somalia,Ethiopia,0,0,FIFA World Cup qualification
34081,2011-11-12,South Africa,Ivory Coast,1,1,Friendly
34082,2011-11-12,Wales,Norway,4,1,Friendly
34083,2011-11-13,India,Malaysia,1,1,Friendly
34084,2011-11-13,Morocco,Cameroon,1,1,Friendly
34085,2011-11-13,Sudan,Uganda,0,0,Friendly
34086,2011-11-14,Bermuda,Barbados,2,1,FIFA World Cup qualification
34087,2011-11-14,Brazil,Egypt,2,0,Friendly
34088,2011-11-14,Cayman Islands,Dominican Republic,1,1,FIFA World Cup qualification
34089,2011-11-14,Honduras,Serbia,2,0,Friendly
34090,2011-11-14,Puerto Rico,Saint Lucia,3,0,FIFA World Cup qualification
34091,2011-11-15,Belarus,Libya,1,1,Friendly
34092,2011-11-15,Burundi,Lesotho,2,2,FIFA World Cup qualification
34093,2011-11-15,Canada,Saint Kitts and Nevis,4,0,FIFA World Cup qualification
34094,2011-11-15,Chile,Paraguay,2,0,FIFA World Cup qualification
34095,2011-11-15,Colombia,Argentina,1,2,FIFA World Cup qualification
34096,2011-11-15,Congo,São Tomé and Príncipe,1,1,FIFA World Cup qualification
