104143,nissan,qashqai,gen-i-2007-2013,2011,191900,1997,Gasoline,Celiny,Świętokrzyskie,34900
67560,renault,megane,gen-iv-2016,2019,80000,1461,Diesel,Słodków Kolonia,Wielkopolskie,56900
47657,ford,fiesta,gen-mk7-2008,2009,173500,1242,Gasoline,Stanisław Dolny,Małopolskie,23900
45406,volkswagen,touran,gen-i-2003-2010,2003,215075,1598,Gasoline,Szufnarowa,Podkarpackie,11000
107323,peugeot,308,,2020,13700,1499,Diesel,Wągrowiec,Wielkopolskie,58600
17397,audi,a5,gen-8t-2007-2016,2012,290000,2967,Diesel,Hrubieszów,Lubelskie,56000
47599,ford,fiesta,gen-mk7-2008,2009,160000,1242,Gasoline,Legnica,Dolnośląskie,14999
62370,mercedes-benz,m-klasa,gen-w163-1998-2005,2002,302000,2685,Diesel,Września,Wielkopolskie,20500
28,opel,combo,gen-d-2011,2015,135000,1248,Diesel,Kraków,Małopolskie,39000
62637,mercedes-benz,vito,gen-w639-2003,2013,421277,2143,Diesel,Witaszyce,Wielkopolskie,53751
9718,opel,meriva,gen-ii-2010,2010,187859,1364,Gasoline,Elbląg,Warmińsko-mazurskie,24900
94346,kia,ceed,gen-iii-2018,2021,1673,1580,Hybrid,Lublin,Lubelskie,129900
33123,bmw,x3,gen-f25-2010,2017,78000,1998,Gasoline,Wieliszew,Mazowieckie,110900
58773,mercedes-benz,c-klasa,gen-w203-2000-2007,2001,290000,2148,Diesel,Oborniki Śląskie,Dolnośląskie,8800
68706,renault,scenic,gen-iii-2009-2013,2011,178000,1461,Diesel,Rzeszów,Podkarpackie,19580
31663,bmw,seria-5,gen-g30-2017,2018,81000,2000,Diesel,Kołobrzeg,Zachodniopomorskie,169900
32463,bmw,x1,gen-e84-2009-2015,2013,175000,1995,Diesel,Słupca,Wielkopolskie,48900
50468,ford,fusion,,2006,87400,1399,Gasoline,Warszawa,Mazowieckie,8200
54401,ford,puma,,2021,5,999,Gasoline,Warszawa,Mazowieckie,106950
11560,opel,vivaro,,2019,70000,1598,Diesel,Łukowica,Małopolskie,99000
